detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch1_amplitude,ch1_relevant,ch2_amplitude,ch2_relevant,ch3_amplitude,ch3_relevant,ch4_amplitude,ch4_relevant,ch5_amplitude,ch5_relevant,ch6_amplitude,ch6_relevant,ch7_amplitude,ch7_relevant
130,2191026,1095.513,stroke,6,4.09140966385134,False,20.30976558727607,False,389.4150938867701,False,123.53708901015074,True,7.481516991719432,True,0.9301325849094082,True,8.66653654939325,False
131,2194718,1097.359,stroke,6,3.5567642127119234,False,19.21950256209792,False,222.09253702162573,False,205.89153513643143,True,5.980723081667551,True,1.216747672436111,True,13.619210835173284,False
132,2208203,1104.1015,stroke,6,2.3754710373580425,False,12.13863297985754,False,34.77228063033591,False,107.58858555932699,True,14.422468606620825,True,1.1356230372227931,True,31.41445251440116,False
133,2214117,1107.0585,stroke,6,4.281060219014255,False,11.975938141245951,False,141.16418765922145,False,130.9138985368232,True,14.324071307201558,True,0.9807145241209521,True,71.91057487918712,False
134,2218292,1109.146,stroke,6,3.433656641278146,False,5.892680316450944,False,12.217744270301388,False,100.31696274247797,True,9.760643670062416,True,0.9187228926874476,True,74.39441645260366,False
135,2229102,1114.551,stroke,6,5.088785256252157,False,7.343881358634691,False,8.426572417382008,False,112.59824515728646,True,12.447914734398505,True,1.2061376676354967,True,2.112235431839123,False
136,2234207,1117.1035,stroke,6,5.635558553887181,False,4.815462688053495,False,7.270714556838845,False,100.29624042821553,True,12.529984346740324,True,1.176329195901713,True,7.2891345339252585,False
137,2236681,1118.3405,stroke,6,6.19986122265601,False,11.933508857131145,False,5.649700502610297,False,59.426277450864106,True,5.045794880784737,True,1.0302589348632525,True,3.3695611794088016,False
138,2245177,1122.5885,stroke,6,5.683587027766027,False,10.942755022121508,False,6.1669724212996275,False,49.537954493061775,True,7.136247602822828,True,1.0001758425696259,True,3.303688880014354,False
139,2248089,1124.0445,stroke,6,22.820658268789998,False,15.01785027964411,False,4.790455721715832,False,15.381722979538544,True,7.955995274382469,True,1.2078778302627096,True,2.3443674296309016,False
140,2251532,1125.766,stroke,6,32.37168361823406,False,9.667669185403284,False,138.107980001172,False,19.537880373399474,True,10.390589378596973,True,1.2355500769962702,True,2.0189020739525336,False
141,2270794,1135.397,stroke,6,28.20528473495482,False,20.459244572047943,False,10.94385445943393,False,8.823427286934471,True,3.7754541138587,True,1.1094395624715112,True,4.427245697141704,False
142,2274477,1137.2385,stroke,6,25.783586540229138,False,11.900466281814403,False,6.134622662111469,False,12.332813368343944,True,2.7467261370336287,True,1.4303611995343841,True,2.2883760217759366,False
143,2285799,1142.8995,stroke,6,29.77240009879336,False,11.279693715816133,False,4.696044724894359,False,13.89325980035466,True,3.0590577628207267,True,1.0327192971290682,True,2.1930822156690812,False
144,2292056,1146.028,stroke,6,26.044790343825056,False,12.975251185898838,False,10.235631063628817,False,13.384158630775104,True,5.209182190166096,True,0.8116804065109016,True,3.1881259907801733,False
145,2296028,1148.014,stroke,6,26.019753621214512,False,9.468632480518941,False,4.830502777193365,False,11.05892520940572,True,2.7591642320933922,True,0.827012639767063,True,2.407747245469378,False
146,2300441,1150.2205,stroke,6,26.211209129719286,False,15.18405909906023,False,5.0939724251490786,False,44.24721782584494,True,3.648620665304347,True,1.145241864578023,True,1.807639389701794,False
147,2304941,1152.4705,stroke,6,25.289578841540838,False,17.333032344885684,False,9.51554108633218,False,13.275172962210613,True,3.3979507571055514,True,1.3175640318387725,True,2.0353290220091167,False
