detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch2_amplitude,ch2_relevant,ch4_amplitude,ch4_relevant,ch7_amplitude,ch7_relevant,ch8_amplitude,ch8_relevant,ch9_amplitude,ch9_relevant,ch11_amplitude,ch11_relevant
88,627978,313.989,healthy,2,3.796668613754945,True,2.784029348304186,True,3.9489352905960495,True,2.624670935375182,False,7.090265832570877,False,8.219018588455025,False
89,638218,319.109,healthy,2,16.795905654069323,True,23.15223131008441,True,265.5921384541532,True,55.10966976484447,False,29.91694959816618,False,58.08925243031099,False
90,640533,320.2665,healthy,2,17.477326621874063,True,25.107096670490137,True,131.02145878402658,True,52.66593878170421,False,26.734574770154822,False,51.53704408772696,False
91,648453,324.2265,healthy,2,17.29898737250497,True,26.63462084390164,True,103.17665752942389,True,52.08938668300385,False,26.854436214027224,False,66.16469565151186,False
92,652840,326.42,healthy,2,16.309158152565196,True,18.93456036433199,True,66.6141509530971,True,48.214261076830134,False,28.946021858175833,False,64.9148580022541,False
93,657534,328.767,healthy,2,19.57360919677749,True,20.436029025418755,True,17.625900934297725,True,55.84750092851514,False,28.67260219352624,False,54.1804460335254,False
94,661604,330.802,healthy,2,18.580248585893926,True,18.581902846102633,True,78.52079856265058,True,64.30281095778611,False,32.101676536257166,False,67.35215652251655,False
95,665505,332.7525,healthy,2,17.27927871206475,True,21.43896014468497,True,922.5726125294318,True,78.80214597448821,False,26.298562207185526,False,67.63588861279072,False
96,671521,335.7605,healthy,2,17.06739515629937,True,22.410129598438438,True,8.494581183127252,True,64.17490031292347,False,30.283289611511965,False,57.723364866983594,False
97,675655,337.8275,healthy,2,19.869755861702878,True,19.986541710938646,True,134.86212119019092,True,50.086174304595346,False,30.834343388565834,False,56.65291065343773,False
98,692019,346.0095,healthy,2,18.661515989108587,True,20.349764496253812,True,70.89359039659519,True,52.614142623680394,False,23.030075691507975,False,52.596246122186386,False
99,695811,347.9055,healthy,2,4.202998737159516,True,2.5514318324128142,True,3.418861239700902,True,6.83395495128978,False,3.9196545584729674,False,5.227355767783811,False
100,702472,351.236,healthy,2,16.70389458697658,True,17.889214860478816,True,117.8965116480409,True,50.30635317102343,False,20.953680350851947,False,58.743308084019155,False
101,709854,354.927,healthy,2,15.292231614990591,True,16.12758215590791,True,12.344267787503373,True,48.462953909931684,False,17.18676482930836,False,47.51776121587578,False
102,713493,356.7465,healthy,2,18.644464644311224,True,20.07790671379126,True,195.52746840444263,True,49.40658695719672,False,26.82948530065809,False,53.05321071689356,False
103,718674,359.337,healthy,2,17.912562886985466,True,19.409777113879162,True,75.09697728548389,True,54.01315132257546,False,26.408436439696523,False,63.114357977954384,False
104,720878,360.439,healthy,2,4.382004985179092,True,3.155431202001072,True,3.650457292998955,True,2.4026081690399175,False,5.843241051776992,False,10.852168277357594,False
105,723027,361.5135,healthy,2,17.81416227460972,True,27.74057211760886,True,101.27400562569017,True,47.93961271939742,False,24.166805260510785,False,57.23752124343831,False
106,725836,362.918,healthy,2,5.408334192230246,True,3.2628221550890766,True,3.0014910002958746,True,4.072264293053132,False,3.7436204868378073,False,5.932703684806349,False
107,730897,365.4485,healthy,2,20.373720023291977,True,18.169382633636566,True,82.56333292999372,True,56.21558576535395,False,17.914622350652103,False,64.54281307138073,False
108,736373,368.1865,healthy,2,18.79735916643111,True,16.740503727644036,True,47.18872748921844,True,48.41314529449159,False,23.408091651740214,False,53.54283594618425,False
109,741065,370.5325,healthy,2,17.176970410440667,True,22.733957534129882,True,38.489487940633126,True,49.99753355156192,False,21.144338601116246,False,41.51896060573745,False
110,743752,371.876,healthy,2,2.998473409791835,True,2.869173323866181,True,5.932541946074235,True,2.426525945583937,False,2.5833991271954417,False,10.865684335997182,False
111,751338,375.669,healthy,2,18.819600348355696,True,16.72944697143434,True,164.49289675070713,True,50.16492996213482,False,26.359990979115214,False,48.98135996550549,False
112,757162,378.581,healthy,2,7.80943800549352,True,2.8728303262008144,True,4.590544311008426,True,2.2763375919317763,False,3.723784143301555,False,5.728179701287333,False
113,764976,382.488,healthy,2,17.958841702995713,True,18.17582731167665,True,75.92043379312014,True,37.83325451911222,False,21.464732822763146,False,34.5769237757229,False
114,769528,384.764,healthy,2,20.516863956939176,True,20.488486583666013,True,126.74592938697357,True,42.789301917100154,False,18.92769975475042,False,44.037007868998316,False
115,773949,386.9745,healthy,2,22.13555621348481,True,15.993123886081577,True,58.017239455474154,True,52.72368310838014,False,25.894623164059276,False,69.15663945268409,False
116,778672,389.336,healthy,2,16.68390857379952,True,20.70233235474324,True,26.50574939151536,True,57.010449558907254,False,23.597769494590718,False,43.06711010602098,False
117,784952,392.476,healthy,2,19.67820119715229,True,20.08404569293597,True,72.2825273343169,True,46.41268485493965,False,33.26879337244984,False,66.00933425836295,False
