detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch1_amplitude,ch1_relevant,ch2_amplitude,ch2_relevant,ch3_amplitude,ch3_relevant,ch4_amplitude,ch4_relevant,ch5_amplitude,ch5_relevant,ch6_amplitude,ch6_relevant,ch7_amplitude,ch7_relevant
32,620041,310.0205,healthy,1,23.49957926160372,True,25.042945530223854,True,16.732721126244417,True,48.29796181275842,False,113979.22549462317,False,1.1437341843002051,False,12.556481719492078,False
33,625582,312.791,healthy,1,23.85318673901697,True,15.84451843545219,True,13.706419862460708,True,44.14940180776792,False,102795.3498701929,False,1.219029680865959,False,10.715571489033206,False
34,630185,315.0925,healthy,1,23.8493585468405,True,26.702576911144078,True,21.778340630465124,True,42.176516447362275,False,49226.6750774881,False,1.0068293847202459,False,12.808222590541142,False
35,635034,317.517,healthy,1,24.318156491889635,True,33.578035485591116,True,65.78957453694025,True,46.63235722559582,False,22969.028333099868,False,0.926098662297844,False,13.50365210375743,False
36,640722,320.361,healthy,1,22.354275380621118,True,119.14559772751532,True,105.56025004727564,True,42.42467757760307,False,45907.2503139794,False,0.8783746890157953,False,12.220162945480908,False
37,647885,323.9425,healthy,1,24.572793013488404,True,105.98507808133981,True,65.73310034270057,True,41.47184690614601,False,48752.49251074898,False,1.4599500880178702,False,11.799645947757284,False
38,650294,325.147,healthy,1,6.640513995532348,True,24.705161426289393,True,3.3238916140055528,True,2.150572424719397,False,9891.842961570832,False,1.188425407615406,False,3.681175676082156,False
39,652987,326.4935,healthy,1,22.23975255944687,True,37.44139413224194,True,13.847503536466135,True,44.567798276405775,False,19015.61193613254,False,1.252939839978541,False,10.201012684413634,False
40,656574,328.287,healthy,1,3.129233136073768,True,31.368279807823143,True,2.750345338027838,True,1.9034809185130532,False,3481.236175806368,False,1.0582693713990408,False,2.5016776415394943,False
41,664611,332.3055,healthy,1,4.367671540388651,True,34.86223586548195,True,5.186501623618579,True,1.9736917258193996,False,2723.0622720601455,False,1.159997340779861,False,2.1254239041733007,False
42,667501,333.7505,healthy,1,24.64057254976893,True,22.100566021886472,True,34.00462655132919,True,44.17024242540723,False,73627.51870953027,False,0.7019678748387852,False,12.270895019501115,False
43,671355,335.6775,healthy,1,5.274205284793288,True,27.926238830998493,True,3.4440006375965018,True,7.577152458472886,False,159907.3498609954,False,0.93029640018394,False,2.542709587943546,False
44,678822,339.411,healthy,1,7.154102022557412,True,14.472129499008744,True,2.4790817199852393,True,1.155594172925642,False,0.12865711399158866,False,1.1430750552880558,False,2.1325267918759976,False
45,707416,353.708,healthy,1,3.531484890547129,True,18.947213663366192,True,6.571594652399879,True,5.170029291195849,False,0.12810436800725383,False,0.9081082840524302,False,2.2539589311338144,False
46,714223,357.1115,healthy,1,3.9647502154721463,True,15.833156612454964,True,2.8596534835924103,True,1.4620659471746662,False,0.6610004925570425,False,0.9377317806851702,False,1.8043403000952907,False
47,718096,359.048,healthy,1,6.250943713659346,True,19.684224712863816,True,2.603493927784051,True,2.233997662156449,False,107581.9409710828,False,0.8347040426686483,False,1.989790629652423,False
48,735224,367.612,healthy,1,5.676364558183417,True,20.9756699155798,True,2.965686795615153,True,1.872722338854988,False,33201.156258389994,False,0.7843322506952517,False,2.647865781133453,False
49,741201,370.6005,healthy,1,5.1623302486997655,True,21.109822438045125,True,2.0005823600012325,True,1.7057806332714418,False,0.0002872034904875018,False,1.3997477254388646,False,3.018404768162342,False
50,752457,376.2285,healthy,1,4.7652931825626546,True,21.186536440692045,True,1.8582249353615867,True,2.3752100701433676,False,8300.933769916428,False,1.2118620082521403,False,2.251073637103734,False
51,763904,381.952,healthy,1,80.19775209417203,True,52.83454798785479,True,64.45273681820238,True,100.85837638427668,False,27948.802936715598,False,1.1598863327246554,False,30.705065086086535,False
