detection_idx,pulse_index,pulse_time_s,phase,detection_channel,ch130_amplitude,ch130_relevant,ch132_amplitude,ch132_relevant,ch135_amplitude,ch135_relevant,ch136_amplitude,ch136_relevant,ch137_amplitude,ch137_relevant,ch139_amplitude,ch139_relevant
30,1054922,527.461,healthy,132,3.936237945493681e-05,True,321.1599838646055,True,300.97386672158177,True,7.086838970196701,False,303.2230028294576,False,2.083489857689811,False
31,1057255,528.6275,healthy,132,4.477467519324594e-05,True,2723.7343750561586,True,2695.31017251461,True,408.80913316012027,False,2684.274966171066,False,133.46691256443336,False
32,1061329,530.6645,healthy,132,3.936237945493681e-05,True,3146.5096057069427,True,3119.028382860651,True,425.1351000038323,False,3120.038175009249,False,136.72153003563145,False
33,1064715,532.3575,healthy,132,3.621556635245555e-05,True,2757.326860885628,True,2730.5374888064653,True,407.3264697803055,False,2713.9315493141744,False,131.43081278220342,False
34,1068053,534.0265,healthy,132,3.93623794518904e-05,True,2950.061764065896,True,2922.247110340425,True,418.5154401124332,False,2929.48787199419,False,140.15057695107367,False
35,1071884,535.942,healthy,132,3.936237945541572e-05,True,2931.781013012963,True,2888.193865959711,True,419.61436625233483,False,2874.1307224585616,False,132.8178622828122,False
36,1074153,537.0765,healthy,132,3.802794325645309e-05,True,281.0307007596243,True,287.9718597834622,True,8.40609151161469,False,283.23191146261524,False,1.8470363222358528,False
37,1076883,538.4415,healthy,132,3.907540626192807e-05,True,2885.337083924136,True,2878.2951260258765,True,424.03463545830573,False,2884.148369037102,False,139.44011495358876,False
38,1079394,539.697,healthy,132,3.62724715474877e-05,True,302.2098685965756,True,298.10491319165783,True,8.068323886533666,False,317.25023961288935,False,1.3863435467741945,False
39,1084554,542.277,healthy,132,3.6215566347962754e-05,True,291.78786566417307,True,297.34073756677634,True,8.715588686874835,False,297.4811842376596,False,1.7143069188454192,False
40,1088689,544.3445,healthy,132,3.6272471548230795e-05,True,294.382703899382,True,293.7246524599028,True,6.933405841443781,False,308.62871407441213,False,1.3557328958305679,False
41,1092808,546.404,healthy,132,3.9578485668319586e-05,True,327.0858770780763,True,297.6816234503908,True,10.026513226378018,False,321.1654136516852,False,1.5662449324024772,False
42,1096922,548.461,healthy,132,4.477467519444883e-05,True,309.30682622165045,True,284.04979903901426,True,7.35730373877038,False,301.66574992968253,False,1.706387363544066,False
43,1101063,550.5315,healthy,132,4.412945204198684e-05,True,284.42703700534753,True,293.8291562824056,True,7.725895422183251,False,305.798451664197,False,2.308250922303004,False
44,1104155,552.0775,healthy,132,3.6668005321002884e-05,True,283.3264290469309,True,312.52761375721207,True,7.6309841974748736,False,313.0303028212681,False,1.359407655131413,False
45,1108315,554.1575,healthy,132,3.666800532198503e-05,True,290.5135989668763,True,294.7204297111872,True,7.220980642910697,False,290.806303329309,False,1.9491850576843908,False
46,1112470,556.235,healthy,132,3.686274651004443e-05,True,296.7809289694829,True,287.8760857601728,True,8.72965996802844,False,283.97134729287757,False,2.7995508885336706,False
47,1116615,558.3075,healthy,132,4.018099448801701e-05,True,300.13223208407953,True,298.70650705195465,True,9.749758359124916,False,305.50295487411427,False,1.6085542280663738,False
48,1119544,559.772,healthy,132,3.936237945235743e-05,True,3943.2115991504525,True,3946.087695611229,True,477.87588364894515,False,3957.1106844040296,False,171.0983605305241,False
49,1123852,561.926,healthy,132,3.9578485663739144e-05,True,4147.033895027085,True,4134.263967875453,True,466.1573803402982,False,4132.301900802607,False,154.90610135010698,False
50,1127548,563.774,healthy,132,3.936237945235743e-05,True,3820.737358179487,True,3807.774091059774,True,459.51321982391414,False,3809.1325651354205,False,154.96240942095247,False
51,1131651,565.8255,healthy,132,4.018099448718214e-05,True,3794.806979071567,True,3785.365994095981,True,463.5426718844395,False,3795.413951063906,False,160.94368360893225,False
52,1135128,567.564,healthy,132,4.0180994487754325e-05,True,3789.1634432913743,True,3781.5472161975736,True,475.94807359435214,False,3772.648268195546,False,155.1149016836984,False
53,1139141,569.5705,healthy,132,4.41294520417574e-05,True,3920.0149171884077,True,3900.9218389388006,True,474.6486888591521,False,3920.783201622919,False,156.43977005151504,False
54,1141678,570.839,healthy,132,3.689355926897648e-05,True,292.5734096197468,True,285.991186204622,True,9.085774294698489,False,275.4992188123389,False,1.8129295602462228,False
55,1143981,571.9905,healthy,132,4.477467519182818e-05,True,3598.9996503392704,True,3590.1876489099836,True,472.72650637871243,False,3599.2400516934767,False,153.78344323788215,False
56,1147889,573.9445,healthy,132,3.6272471548230795e-05,True,3751.8280354254603,True,3709.6306365158935,True,475.76458125982776,False,3748.481475760779,False,155.55838802899987,False
57,1151628,575.814,healthy,132,4.412945204152178e-05,True,3771.929062744971,True,3760.3013962905534,True,478.7613579478551,False,3753.1543530685044,False,154.970646560075,False
58,1154169,577.0845,healthy,132,4.412945204099907e-05,True,270.00433385406325,True,271.7472711929872,True,6.4947514762512775,False,286.0206444865311,False,2.642588956203373,False
59,1156425,578.2125,healthy,132,4.412945204152178e-05,True,3718.411799640112,True,3693.4920557911823,True,475.3818301111328,False,3693.7295513131075,False,154.42468541954568,False
60,1158823,579.4115,healthy,132,4.018099448718214e-05,True,154.251922762979,True,157.19370319329713,True,5.466638053807272,False,143.384559195666,False,2.683726502842438,False
61,1161376,580.688,healthy,132,4.018099448801701e-05,True,351.6164855474892,True,373.197407349292,True,4.849128238616912,False,381.8587689908634,False,4.158398805997061,False
62,1165508,582.754,healthy,132,3.6272471548230795e-05,True,285.57112968487047,True,257.0031523341313,True,7.083308654338111,False,274.7467300938861,False,1.9379871790151162,False
63,1169622,584.811,healthy,132,3.9578485668319586e-05,True,295.2023936052885,True,298.5778635999209,True,11.3176120832962,False,288.73529198071583,False,1.7086944679684746,False
64,1173752,586.876,healthy,132,3.723315109403115e-05,True,106.49086737837338,True,112.21455598437302,True,11.530155351931342,False,126.68938727618271,False,1.8721467680869006,False
65,1176816,588.408,healthy,132,3.93623794518904e-05,True,291.2070068428379,True,290.3659053818241,True,5.802143931947577,False,298.8978908973685,False,2.4336244419584316,False
66,1182005,591.0025,healthy,132,3.9647574806129474e-05,True,297.1130609486511,True,303.43135185417464,True,11.079076923483228,False,296.1369365658149,False,2.283503127507662,False
67,1187160,593.58,healthy,132,4.477467519182818e-05,True,238.5470027431811,True,227.90419344726413,True,6.06402705799985,False,230.8845199283231,False,3.3637675188463017,False
68,1190311,595.1555,healthy,132,3.802794325665769e-05,True,268.71319115528695,True,281.46762796986593,True,4.101696546690535,False,288.7128847602255,False,3.092280601582755,False
69,1194486,597.243,healthy,132,4.161750209760059e-05,True,286.8762410656329,True,271.4238865242951,True,3.671935396618184,False,261.8451068108983,False,4.5321052385412965,False
70,1199712,599.856,healthy,132,3.6272471549261025e-05,True,303.10366344203993,True,283.49795478512453,True,10.258489762490587,False,283.26890072852456,False,1.8598870653856578,False
71,1202871,601.4355,healthy,132,3.723315109309917e-05,True,310.2382434662228,True,277.8106878024085,True,9.191678576804009,False,305.4326771071743,False,1.6536414812687137,False
72,1207117,603.5585,healthy,132,3.5723260581164485e-05,True,244.13906490402297,True,246.6748481332915,True,13.713779911703819,False,248.15817783763922,False,10.15304467586365,False
73,1211360,605.68,healthy,132,3.6668005321002884e-05,True,129.5460367944172,True,120.62343286695062,True,14.660374379031685,False,120.0160875301963,False,4.2625103588598225,False
74,1215557,607.7785,healthy,132,3.936237945235743e-05,True,267.03275861785875,True,260.0583978540649,True,70.28142785867573,False,297.88091798855953,False,10.46473753099109,False
75,1218747,609.3735,healthy,132,3.936237945235743e-05,True,295.6669784791008,True,282.77176252146086,True,43.45931134056198,False,281.5762329338015,False,17.362786937142758,False
76,1221899,610.9495,healthy,132,4.01809944870605e-05,True,296.8974440492563,True,304.81450705894366,True,10.102015396796073,False,313.2874792732305,False,3.341160977863169,False
77,1226075,613.0375,healthy,132,3.6668005320585764e-05,True,255.31678127640726,True,248.44916365359927,True,11.526598298362188,False,248.05047605209012,False,4.313863616821695,False
78,1231240,615.62,healthy,132,3.93623794518904e-05,True,284.12381402494105,True,304.15788708295753,True,10.481008109811416,False,307.28437563269074,False,2.7432885587663947,False
79,1236399,618.1995,healthy,132,3.9647574806129474e-05,True,308.36033892644303,True,301.0402157620415,True,5.635835341439453,False,288.246513242408,False,2.8712003483046664,False
80,1241578,620.789,healthy,132,4.477467519182818e-05,True,286.5991433902211,True,284.9422049834341,True,34.1161959763352,False,293.68473606446037,False,30.85083544588607,False
81,1244677,622.3385,healthy,132,3.936237945541572e-05,True,268.5268582499354,True,280.02208181353205,True,4.016935205993509,False,258.22883096842503,False,2.11292259124408,False
82,1249882,624.941,healthy,132,4.4774675196979506e-05,True,292.7771079512356,True,282.3596587765628,True,4.811077639334913,False,289.0406568628848,False,3.0065868156448836,False
83,1255069,627.5345,healthy,132,3.9578485663739144e-05,True,307.6716010954557,True,296.5790336257861,True,8.578846526741076,False,274.7728720182041,False,2.9705342139370217,False
84,1258236,629.118,healthy,132,3.723315109282341e-05,True,271.7666987380973,True,270.4416136000268,True,6.65466492815548,False,269.73060827238373,False,2.3381696716902476,False
85,1262418,631.209,healthy,132,3.9578485668319586e-05,True,291.1609204861231,True,254.3394736947036,True,9.665378809349994,False,291.1402978614249,False,1.283942412775733,False
86,1267657,633.8285,healthy,132,4.018099448718214e-05,True,278.56505802834766,True,266.64352424100986,True,20.633348411047553,False,283.0264919725199,False,2.705839589500277,False
